Date,yyyy-mm-dd,FCH4 Value,AVG FCH4,Standardized FCH4 AVG
4/26/2015,,21.989,,
4/26/2015,,16.646,,
4/26/2015,,22.477,,
4/27/2015,,24.652,,
4/27/2015,,17.74,,
4/27/2015,,15.374,,
4/27/2015,,24.308,,
4/27/2015,,27.101,,
4/27/2015,,20.666,,
4/27/2015,,20.893,,
4/27/2015,,38.788,,
4/27/2015,,23.094,,
4/27/2015,,17.312,,
4/27/2015,,19.049,,
4/27/2015,,19.531,,
4/27/2015,,17.122,,
4/27/2015,,10.206,,
4/28/2015,,20.397,,
4/28/2015,,21.929,,
4/28/2015,,22.227,,
4/28/2015,,19.904,,
4/28/2015,,22.802,,
4/28/2015,,27.698,,
4/28/2015,,20.376,,
4/28/2015,,24.42,,
4/28/2015,,25.22,,
4/28/2015,,23.821,,
4/28/2015,,31.637,,
4/28/2015,,25.193,,
4/28/2015,,23.96,,
4/28/2015,,30.772,,
4/28/2015,,31.955,,
4/28/2015,,24.563,,
4/28/2015,,22.182,,
4/28/2015,,22.825,,
4/28/2015,,29.864,,
4/28/2015,,19.146,,
4/28/2015,,27.482,,
4/28/2015,,20.48,,
4/28/2015,,22.646,,
4/28/2015,,23.996,,
4/28/2015,,26.821,,
4/28/2015,,22.582,,
4/28/2015,,21.429,,
4/29/2015,,21.414,,
4/29/2015,,21.393,,
4/29/2015,,25.57,,
4/29/2015,,20.154,,
4/29/2015,,19.057,,
4/29/2015,,14.298,,
4/29/2015,,18.661,,
4/29/2015,,16.621,,
4/29/2015,,13.638,,
4/29/2015,,18.273,,
4/29/2015,,9.263,,
4/30/2015,,25.374,,
5/1/2015,,25.436,,
5/1/2015,,20.093,,
5/1/2015,,26.575,,
5/1/2015,,24.148,,
5/1/2015,,29.602,,
5/1/2015,,19.86,,
5/1/2015,,11.863,,
5/2/2015,,22.021,,
5/2/2015,,28.034,,
5/2/2015,,19.42,,
5/2/2015,,33.756,,
5/2/2015,,11.5,,
5/3/2015,,39.195,,
5/3/2015,,15.595,,
5/3/2015,,26.11,,
5/3/2015,,26.724,,
5/3/2015,,20.335,,
5/3/2015,,34.411,,
5/3/2015,,16.11,,
5/6/2015,,25.13,,
5/6/2015,,17.723,,
5/6/2015,,18.33,,
5/7/2015,,15.428,,
5/7/2015,,20.599,,
5/7/2015,,22.124,,
5/8/2015,,32.81,,
5/8/2015,,21.345,,
5/8/2015,,21.325,,
5/8/2015,,19.087,,
5/8/2015,,24.101,,
5/8/2015,,23.346,,
5/8/2015,,31.924,,
5/8/2015,,26.533,,
5/8/2015,,29.101,,
5/8/2015,,24.097,,
5/8/2015,,22.968,,
5/8/2015,,25.736,,
5/8/2015,,23.537,,
5/8/2015,,28.088,,
5/8/2015,,22.06,,
5/9/2015,,16.818,,
5/9/2015,,17.844,,
5/9/2015,,18.337,,
5/9/2015,,20.523,,
5/9/2015,,19.658,,
5/9/2015,,17.49,,
5/9/2015,,17.818,,
5/9/2015,,17.468,,
5/9/2015,,15.987,,
5/9/2015,,15.673,,
