Date-Month,Year,South Precipitation Mean,North Precipitation Mean,Cumulative Precipitation Mean
2017-12,2017,0.1,0.09,0.095
2018-01,2018,0.1,0.09,0.095
2018-02,2018,0.18,0.17,0.175
2018-03,2018,0.09,0.08,0.085
2018-04,2018,0.09,0.09,0.09
2018-05,2018,0.23,0.25,0.24
2018-06,2018,0.49,0.46,0.475
2018-07,2018,0.36,0.3,0.33
2018-08,2018,0.14,0.1,0.12
2018-09,2018,0.32,0.33,0.325
2018-10,2018,0.39,0.36,0.375
2018-11,2018,0.11,0.1,0.105
2018-12,2018,0.16,0.19,0.175
2019-01,2019,0.09,0.07,0.08
2019-02,2019,0.26,0.24,0.25
2019-03,2019,0.18,0.14,0.16
2019-04,2019,0.37,0.38,0.375
2019-05,2019,0.22,0.23,0.225
2019-06,2019,0.26,0.23,0.245
2019-07,2019,0.25,0.23,0.24
2019-08,2019,0.25,0.25,0.25
2019-09,2019,0.43,0.44,0.435
2019-10,2019,0.34,0.35,0.345
2019-11,2019,0.2,0.22,0.21
2019-12,2019,0.23,0.26,0.245
